order_id,order_date,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,customer_support_contacts,review_score,is_returned,is_fraud,risk_label
ORD-2024-001936,2024-01-03,Belgium,Mobile,Paid Ads,Credit Card,Sports,381,3,28.66,33.71,2,0.12,105.7,5,0,0,0,0,4.4,0,0,Normal
ORD-2025-006495,2025-11-26,Netherlands,Desktop,Email,Debit Card,Garden,561,6,41.93,73.29,3,0.03,528.2,4,0,0,0,0,4.8,0,0,Normal
ORD-2023-001721,2023-11-07,Netherlands,Mobile,Organic Search,Debit Card,Garden,324,2,102.67,55.49,1,0.05,175.1,5,0,0,0,0,3.3,0,0,Normal
ORD-2024-009121,2024-05-28,Netherlands,Mobile,Organic Search,Klarna,Electronics,378,3,72.71,112.54,5,0.22,271.4,3,0,0,0,0,4.2,1,0,Return Risk
ORD-2025-000361,2025-01-31,Netherlands,Desktop,Direct,Bank Transfer,Home & Kitchen,447,5,52.26,55.32,8,0.25,285.3,3,0,1,0,0,5.0,0,0,Normal
ORD-2025-009664,2025-04-05,Netherlands,Mobile,Organic Search,Credit Card,Home & Kitchen,334,1,22.84,38.26,1,0.35,670.0,5,0,0,0,0,4.4,0,0,Normal
ORD-2024-005278,2024-07-18,Netherlands,Mobile,Social Media,Debit Card,Pet Supplies,102,1,84.27,36.36,1,0.03,201.2,3,0,0,0,0,3.7,0,0,Normal
ORD-2025-008547,2025-11-14,Italy,Mobile,Marketplace,Credit Card,Electronics,9,0,70.55,141.55,2,0.13,720.0,5,0,0,0,0,4.5,0,0,Normal
ORD-2024-002222,2024-11-10,Netherlands,Desktop,Direct,Credit Card,Electronics,46,0,21.65,25.37,2,0.17,374.4,4,0,0,0,0,5.0,0,0,Normal
ORD-2023-004618,2023-12-14,Netherlands,Mobile,Social Media,Klarna,Garden,663,6,15.68,19.06,1,0.17,136.3,4,0,0,0,0,4.2,0,0,Normal
ORD-2024-003466,2024-09-21,Germany,Desktop,Social Media,Credit Card,Electronics,33,0,47.71,93.8,4,0.13,411.9,5,0,0,1,0,4.8,0,0,Normal
ORD-2023-001409,2023-11-05,Turkey,Desktop,Email,Credit Card,Garden,51,0,24.95,48.03,5,0.13,87.8,5,0,0,0,0,4.6,0,0,Normal
ORD-2024-000469,2024-10-14,France,Mobile,Organic Search,Klarna,Beauty,934,4,64.38,60.15,1,0.13,595.5,6,0,0,0,0,4.8,0,0,Normal
ORD-2023-001176,2023-03-03,Belgium,Mobile,Social Media,Debit Card,Sports,829,1,13.12,8.46,1,0.05,73.8,4,0,0,0,0,4.6,0,0,Normal
ORD-2025-005225,2025-04-01,Germany,Mobile,Paid Ads,Klarna,Pet Supplies,330,3,44.51,47.91,7,0.1,258.1,3,0,0,0,0,5.0,0,0,Normal
ORD-2025-008129,2025-06-30,Belgium,Mobile,Email,Credit Card,Electronics,460,6,53.62,75.78,1,0.02,299.5,3,0,0,0,0,3.4,1,0,Return Risk
ORD-2024-000425,2024-03-30,Spain,Tablet,Marketplace,Debit Card,Sports,276,1,34.32,19.56,3,0.16,64.6,3,0,0,0,0,4.6,0,0,Normal
ORD-2023-007048,2023-05-08,Netherlands,Mobile,Organic Search,Debit Card,Electronics,104,2,54.96,136.02,2,0.37,359.1,4,0,0,0,1,4.2,0,0,Normal
ORD-2025-002484,2025-08-14,Germany,Desktop,Marketplace,Credit Card,Pet Supplies,313,2,28.61,33.43,1,0.03,560.3,6,1,0,0,0,3.4,0,0,Normal
ORD-2023-001826,2023-03-24,Italy,Mobile,Social Media,Credit Card,Garden,252,0,32.54,31.42,3,0.02,1234.6,6,1,0,0,1,3.9,0,0,Normal
ORD-2025-010558,2025-10-21,Germany,Tablet,Direct,PayPal,Pet Supplies,558,3,44.21,46.38,1,0.11,110.8,4,0,0,0,0,4.3,0,0,Normal
ORD-2025-001484,2025-04-23,Germany,Mobile,Organic Search,Debit Card,Toys,186,1,33.54,48.11,6,0.07,309.9,5,0,0,0,0,4.3,0,0,Normal
ORD-2023-009291,2023-07-19,Germany,Mobile,Paid Ads,Credit Card,Sports,305,0,30.93,22.03,1,0.16,514.0,3,0,0,1,0,4.4,0,0,Normal
ORD-2025-009710,2025-01-29,Belgium,Desktop,Direct,PayPal,Fashion,349,3,63.31,70.59,1,0.31,304.9,4,0,0,0,1,4.4,0,0,Normal
ORD-2024-001651,2024-12-20,Netherlands,Mobile,Paid Ads,Bank Transfer,Electronics,326,2,20.77,45.24,1,0.13,114.3,4,0,0,0,0,3.5,1,0,Return Risk
ORD-2024-009787,2024-03-11,Netherlands,Tablet,Social Media,Debit Card,Fashion,112,2,50.13,32.86,2,0.03,341.9,5,0,0,0,0,4.6,1,0,Return Risk
ORD-2023-002814,2023-10-01,Netherlands,Mobile,Marketplace,PayPal,Electronics,862,7,50.0,47.29,8,0.2,273.8,3,0,0,0,0,4.8,0,0,Normal
ORD-2024-003705,2024-06-02,Poland,Desktop,Organic Search,Debit Card,Garden,31,0,21.83,22.53,1,0.05,477.0,4,0,0,0,0,4.5,0,0,Normal
ORD-2023-006119,2023-06-06,Germany,Mobile,Email,Klarna,Electronics,546,4,64.94,213.48,2,0.01,514.2,4,0,0,1,1,4.9,0,0,Normal
ORD-2024-005043,2024-07-07,Belgium,Mobile,Direct,PayPal,Pet Supplies,104,0,133.22,127.14,1,0.0,349.0,3,0,0,0,0,4.0,1,0,Return Risk
ORD-2024-011209,2024-11-20,Turkey,Mobile,Social Media,Bank Transfer,Home & Kitchen,96,0,77.18,104.94,1,0.13,242.3,5,0,0,0,0,4.5,0,0,Normal
ORD-2023-007239,2023-12-22,Germany,Mobile,Social Media,Klarna,Electronics,612,4,25.03,97.47,1,0.02,414.4,5,0,0,0,0,3.8,0,0,Normal
